0.465896 (0.061033) with: {'batch_size': 40, 'epochs': 100, 'model__neurons': 50, 'optimizer__learning_rate': 0.001, 'optimizer__momentum': 0.0}
0.487779 (0.039515) with: {'batch_size': 40, 'epochs': 100, 'model__neurons': 50, 'optimizer__learning_rate': 0.001, 'optimizer__momentum': 0.4}
0.467837 (0.045670) with: {'batch_size': 40, 'epochs': 100, 'model__neurons': 50, 'optimizer__learning_rate': 0.001, 'optimizer__momentum': 0.8}
0.423204 (0.047337) with: {'batch_size': 40, 'epochs': 100, 'model__neurons': 50, 'optimizer__learning_rate': 0.01, 'optimizer__momentum': 0.0}
0.497224 (0.040128) with: {'batch_size': 40, 'epochs': 100, 'model__neurons': 50, 'optimizer__learning_rate': 0.01, 'optimizer__momentum': 0.4}
0.465893 (0.042282) with: {'batch_size': 40, 'epochs': 100, 'model__neurons': 50, 'optimizer__learning_rate': 0.01, 'optimizer__momentum': 0.8}
0.461213 (0.070833) with: {'batch_size': 40, 'epochs': 100, 'model__neurons': 50, 'optimizer__learning_rate': 0.15, 'optimizer__momentum': 0.0}
0.457058 (0.065151) with: {'batch_size': 40, 'epochs': 100, 'model__neurons': 50, 'optimizer__learning_rate': 0.15, 'optimizer__momentum': 0.4}
0.403542 (0.071470) with: {'batch_size': 40, 'epochs': 100, 'model__neurons': 50, 'optimizer__learning_rate': 0.15, 'optimizer__momentum': 0.8}
0.461748 (0.059624) with: {'batch_size': 40, 'epochs': 100, 'model__neurons': 100, 'optimizer__learning_rate': 0.001, 'optimizer__momentum': 0.0}
0.440952 (0.057631) with: {'batch_size': 40, 'epochs': 100, 'model__neurons': 100, 'optimizer__learning_rate': 0.001, 'optimizer__momentum': 0.4}
0.468959 (0.045314) with: {'batch_size': 40, 'epochs': 100, 'model__neurons': 100, 'optimizer__learning_rate': 0.001, 'optimizer__momentum': 0.8}
0.428485 (0.053397) with: {'batch_size': 40, 'epochs': 100, 'model__neurons': 100, 'optimizer__learning_rate': 0.01, 'optimizer__momentum': 0.0}
0.463958 (0.065558) with: {'batch_size': 40, 'epochs': 100, 'model__neurons': 100, 'optimizer__learning_rate': 0.01, 'optimizer__momentum': 0.4}
0.458723 (0.059475) with: {'batch_size': 40, 'epochs': 100, 'model__neurons': 100, 'optimizer__learning_rate': 0.01, 'optimizer__momentum': 0.8}
0.453995 (0.073234) with: {'batch_size': 40, 'epochs': 100, 'model__neurons': 100, 'optimizer__learning_rate': 0.15, 'optimizer__momentum': 0.0}
0.436164 (0.067292) with: {'batch_size': 40, 'epochs': 100, 'model__neurons': 100, 'optimizer__learning_rate': 0.15, 'optimizer__momentum': 0.4}
0.434282 (0.053625) with: {'batch_size': 40, 'epochs': 100, 'model__neurons': 100, 'optimizer__learning_rate': 0.15, 'optimizer__momentum': 0.8}
0.429875 (0.075544) with: {'batch_size': 40, 'epochs': 100, 'model__neurons': 150, 'optimizer__learning_rate': 0.001, 'optimizer__momentum': 0.0}
0.456739 (0.065400) with: {'batch_size': 40, 'epochs': 100, 'model__neurons': 150, 'optimizer__learning_rate': 0.001, 'optimizer__momentum': 0.4}
0.417635 (0.068754) with: {'batch_size': 40, 'epochs': 100, 'model__neurons': 150, 'optimizer__learning_rate': 0.001, 'optimizer__momentum': 0.8}
0.433733 (0.075509) with: {'batch_size': 40, 'epochs': 100, 'model__neurons': 150, 'optimizer__learning_rate': 0.01, 'optimizer__momentum': 0.0}
0.427065 (0.061992) with: {'batch_size': 40, 'epochs': 100, 'model__neurons': 150, 'optimizer__learning_rate': 0.01, 'optimizer__momentum': 0.4}
0.438672 (0.057211) with: {'batch_size': 40, 'epochs': 100, 'model__neurons': 150, 'optimizer__learning_rate': 0.01, 'optimizer__momentum': 0.8}
0.407131 (0.081334) with: {'batch_size': 40, 'epochs': 100, 'model__neurons': 150, 'optimizer__learning_rate': 0.15, 'optimizer__momentum': 0.0}
0.439018 (0.038319) with: {'batch_size': 40, 'epochs': 100, 'model__neurons': 150, 'optimizer__learning_rate': 0.15, 'optimizer__momentum': 0.4}
0.439020 (0.070109) with: {'batch_size': 40, 'epochs': 100, 'model__neurons': 150, 'optimizer__learning_rate': 0.15, 'optimizer__momentum': 0.8}
0.435076 (0.079334) with: {'batch_size': 40, 'epochs': 100, 'model__neurons': 200, 'optimizer__learning_rate': 0.001, 'optimizer__momentum': 0.0}
0.448745 (0.053297) with: {'batch_size': 40, 'epochs': 100, 'model__neurons': 200, 'optimizer__learning_rate': 0.001, 'optimizer__momentum': 0.4}
0.403469 (0.077031) with: {'batch_size': 40, 'epochs': 100, 'model__neurons': 200, 'optimizer__learning_rate': 0.001, 'optimizer__momentum': 0.8}
0.455355 (0.079572) with: {'batch_size': 40, 'epochs': 100, 'model__neurons': 200, 'optimizer__learning_rate': 0.01, 'optimizer__momentum': 0.0}
