name,team,competition,age,preferredFoot,height,role,mainPosition,secondPosition,country,lastSeasonTournament,lastSeasonTournamentCountry,rating,goals,bigChancesCreated,bigChancesMissed,goalsAssistsSum,accuratePasses,inaccuratePasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,shotsOffTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,goalsFromInsideTheBox,goalsFromOutsideTheBox,shotsFromInsideTheBox,shotsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,penaltyFaced,penaltySave,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,matchesStarted,penaltyConversion,setPieceConversion,totalAttemptAssist,totalContest,totalCross,duelLost,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,scoringFrequency,yellowRedCards,savesCaught,savesParried,totalOwnHalfPasses,totalOppositionHalfPasses,assists,appearances,marketValue,contractYearsLeft,missedForInjuries
Victor Osimhen,Napoli,Serie A Tim,23,Right,186,F,ST,None,Nigeria,Serie A,Italy,7.1333333333333,14,3,6,16,229,96,70.461538461538,59,171,120,17,30,55.555555555556,10,3,5,1,1,1,11.111111111111,91,30,37,76,45.78313253012,51,47.222222222222,127,46.350364963504,1989,15.384615384615,0,0,4,0,0,0,14,0,72,19,7,0,7,8,57.142857142857,17,0,0,32,243,12,11,3,714,38,37,5,0,4,19,24,0,0,4,0,0,0,0,14,2,23,0,0,17,54,9,147,57,0,0,0,14,16,5,50,142.07142857143,0,0,0,74,260,2,27,58000000,3,16
Hirving Lozano,Napoli,Serie A Tim,27,Right,175,F,RW,LW,Mexico,Serie A,Italy,6.97,5,3,4,10,430,94,82.06106870229,144,302,175,28,29,65.909090909091,28,9,3,0,0,16,32.65306122449,50,20,18,90,48.913043478261,10,43.478260869565,100,48.309178743961,1621,10,0,0,1,0,0,0,5,0,32,18,0,1,4,5,38.461538461538,8,0,0,32,235,11,13,9,912,33,27,1,0,22,14,12,0,0,1,0,0,0,0,11,1,20,0,0,28,44,49,107,13,0,0,0,13,12,20,71.428571428571,324.2,0,0,0,170,403,5,30,34000000,2,8
Giovanni Simeone,Napoli,Serie A Tim,27,Right,179,F,ST,None,Argentina,Serie A,Italy,6.9138888888889,17,4,9,22,460,194,70.336391437309,174,293,198,24,23,37.704918032787,27,6,8,0,0,7,25.925925925926,70,32,25,108,35.409836065574,60,35.087719298246,168,35.294117647059,2679,24.285714285714,1,0,1,0,0,0,14,3,53,17,4,2,11,12,57.142857142857,20,0,0,80,475,22,26,16,1268,58,57,2,0,30,34,13,0,0,2,0,0,0,0,33,4,32,0,0,24,61,27,308,111,0,1,0,21,37,15,55.555555555556,157.58823529412,0,0,0,205,476,5,36,17600000,1,0
Giacomo Raspadori,Napoli,Serie A Tim,22,Both,172,F,ST,AM,Italy,Serie A,Italy,6.925,10,6,4,15,803,168,82.6982492276,324,486,258,43,35,58.333333333333,29,9,7,0,1,7,11.111111111111,71,25,15,97,42.920353982301,9,33.333333333333,106,41.897233201581,2752,14.084507042254,0,0,1,0,3,0,7,3,44,27,0,3,7,38,63.333333333333,11,0,0,48,401,22,64,36,1482,33,29,1,0,27,4,31,0,0,1,0,0,0,0,44,3,32,0,0,43,60,63,147,18,0,0,0,60,47,18,62.068965517241,275.2,1,0,0,377,657,5,36,29000000,1,0
Matteo Politano,Napoli,Serie A Tim,29,Left,171,F,RW,None,Italy,Serie A,Italy,6.7666666666667,3,4,2,7,497,146,77.293934681182,137,387,251,33,21,44.68085106383,24,13,3,0,0,27,25,42,11,14,73,42.690058479532,7,35,80,41.884816753927,1662,7.1428571428571,0,0,0,0,1,0,2,1,20,22,0,2,1,24,46.153846153846,2,0,0,21,317,11,57,26,1046,28,14,1,0,39,4,17,1,0,0,0,0,0,0,15,1,20,0,0,32,47,108,111,13,0,0,0,52,16,12,50,554,0,0,0,171,580,4,33,28000000,2,5
Alessio Zerbin,Napoli,Serie A Tim,23,Right,182,F,LW,None,Italy,Serie B,Italy,6.9129032258065,9,4,4,12,426,160,72.696245733788,126,309,178,24,40,44.444444444444,42,14,6,0,0,9,15.789473684211,62,28,18,127,44.561403508772,14,27.450980392157,141,41.964285714286,2080,14.516129032258,0,0,0,0,0,0,8,1,40,22,1,2,6,27,45.762711864407,12,0,0,38,387,12,64,19,1182,46,57,1,0,18,5,16,0,0,2,0,0,0,0,24,3,26,0,0,24,90,57,195,37,0,0,0,59,27,21,50,231.11111111111,0,0,0,158,485,3,31,2200000,3,0
Piotr Zieliński,Napoli,Serie A Tim,28,Both,180,M,AM,MC,Poland,Serie A,Italy,6.92,6,5,1,11,938,168,84.810126582278,331,620,330,50,17,47.222222222222,19,8,1,0,0,13,37.142857142857,43,15,15,64,48.854961832061,3,17.647058823529,67,45.27027027027,2105,13.953488372093,0,0,0,0,1,0,5,1,21,22,0,5,1,28,70,4,0,0,17,272,8,69,38,1403,28,19,1,0,15,1,13,0,0,0,0,0,0,0,22,2,26,0,0,50,36,35,81,14,0,0,0,40,24,12,63.157894736842,350.83333333333,0,0,0,367,774,5,35,52000000,2,1
Khvicha Kvaratskhelia,Napoli,Serie A Tim,21,Both,181,M,LW,None,Georgia,Premier Liga,Russia,6.8421052631579,2,2,1,6,295,87,77.225130890052,87,222,147,27,52,48.148148148148,19,16,6,0,0,14,35.897435897436,38,19,14,104,48.372093023256,9,50,113,48.497854077253,1433,5.2631578947368,1,0,1,0,2,1,0,2,17,21,0,0,2,18,51.428571428571,3,0,0,24,265,12,33,17,783,33,16,1,0,16,3,5,0,0,1,0,0,0,0,29,4,17,0,50,27,108,39,120,9,0,0,1,35,33,15,78.947368421053,716.5,0,0,0,106,315,4,19,16500000,5,0
André Zambo Anguissa,Napoli,Serie A Tim,26,Right,184,M,MC,DM,Cameroon,Serie A,Italy,7,0,2,1,2,1082,121,89.941812136326,444,642,291,23,46,69.69696969697,50,24,5,0,0,4,44.444444444444,20,3,14,123,53.711790393013,30,58.823529411765,153,54.642857142857,1924,0,0,0,0,0,0,0,0,0,7,13,0,0,0,31,62,31,0,1,23,222,14,45,29,1590,28,38,1,0,26,0,3,0,0,8,0,0,0,0,15,1,21,0,0,23,66,9,127,21,0,0,0,50,16,26,52,0,0,0,0,475,737,2,25,29000000,4,6
Tanguy Ndombélé,Napoli,Serie A Tim,25,Right,181,M,MC,DM,France,Ligue 1,France,6.9181818181818,0,2,0,2,464,56,89.230769230769,183,282,126,9,16,66.666666666667,25,3,3,0,0,1,50,5,0,4,60,60,6,60,66,60,703,0,0,0,0,0,0,0,0,0,1,4,0,0,0,17,65.384615384615,5,1,1,12,101,3,16,6,670,19,13,0,0,7,0,1,0,0,0,0,0,0,0,8,2,7,0,0,9,24,2,44,4,0,0,0,26,10,14,56,0,0,0,0,194,328,2,11,41000000,1,0
Eljif Elmas,Napoli,Serie A Tim,23,Right,182,M,MC,LW,North Macedonia,Serie A,Italy,6.775,3,3,3,8,698,97,87.798742138365,196,502,248,25,24,68.571428571429,25,8,3,0,0,0,0,33,11,9,79,50.641025641026,7,24.137931034483,86,46.486486486486,1605,9.0909090909091,0,0,1,0,0,0,3,0,19,14,1,0,2,17,65.384615384615,16,0,0,23,173,9,26,13,1062,30,27,2,0,16,2,13,0,0,3,0,0,0,0,12,3,12,0,0,25,35,10,99,22,0,0,0,26,15,15,60,535,0,0,0,226,579,5,37,23000000,3,1
Stanislav Lobotka,Napoli,Serie A Tim,27,Both,170,M,MC,DM,Slovakia,Serie A,Italy,6.9,1,0,0,1,1326,89,93.710247349823,582,744,245,15,13,81.25,39,12,2,0,0,0,0,2,1,1,87,62.589928057554,8,44.444444444444,95,60.509554140127,1686,50,0,0,0,0,0,0,0,1,0,2,0,0,1,26,63.414634146341,12,0,1,12,120,10,41,27,1607,35,19,0,0,22,0,0,0,0,6,0,0,0,0,13,3,19,0,0,15,16,3,62,10,0,0,0,41,16,24,61.538461538462,1686,0,0,0,619,799,0,23,15500000,3,7
Karim Zedadka,Napoli,Serie A Tim,22,Right,182,M,ML,MC,France,Pro League,Belgium,6.6545454545455,0,2,2,0,113,22,83.703703703704,47,68,37,7,1,25,13,2,3,0,0,2,22.222222222222,8,3,3,29,69.047619047619,6,50,35,64.814814814815,357,0,0,0,0,1,0,0,0,0,5,3,0,0,0,1,12.5,7,0,0,1,43,1,3,1,243,15,7,0,0,2,0,2,0,0,0,0,0,0,0,8,1,2,0,0,7,4,9,19,6,0,0,0,8,9,10,76.923076923077,0,0,0,0,54,90,0,11,410000,1,0
