name,goalsScored,goalsConceded,ownGoals,assists,shots,penaltyGoals,penaltiesTaken,freeKickGoals,freeKickShots,goalsFromInsideTheBox,goalsFromOutsideTheBox,shotsFromInsideTheBox,shotsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,bigChances,bigChancesCreated,bigChancesMissed,shotsOnTarget,shotsOffTarget,blockedScoringAttempt,successfulDribbles,dribbleAttempts,corners,hitWoodwork,fastBreaks,fastBreakGoals,fastBreakShots,averageBallPossession,totalPasses,accuratePasses,accuratePassesPercentage,totalOwnHalfPasses,accurateOwnHalfPasses,accurateOwnHalfPassesPercentage,totalOppositionHalfPasses,accurateOppositionHalfPasses,accurateOppositionHalfPassesPercentage,totalLongBalls,accurateLongBalls,accurateLongBallsPercentage,totalCrosses,accurateCrosses,accurateCrossesPercentage,cleanSheets,tackles,interceptions,saves,errorsLeadingToGoal,errorsLeadingToShot,penaltiesCommited,penaltyGoalsConceded,clearances,clearancesOffLine,lastManTackles,totalDuels,duelsWon,duelsWonPercentage,totalGroundDuels,groundDuelsWon,groundDuelsWonPercentage,totalAerialDuels,aerialDuelsWon,aerialDuelsWonPercentage,possessionLost,offsides,fouls,yellowCards,yellowRedCards,redCards,avgRating,accurateFinalThirdPassesAgainst,accurateOppositionHalfPassesAgainst,accurateOwnHalfPassesAgainst,accuratePassesAgainst,bigChancesAgainst,bigChancesCreatedAgainst,bigChancesMissedAgainst,clearancesAgainst,cornersAgainst,crossesSuccessfulAgainst,crossesTotalAgainst,dribbleAttemptsTotalAgainst,dribbleAttemptsWonAgainst,errorsLeadingToGoalAgainst,errorsLeadingToShotAgainst,hitWoodworkAgainst,interceptionsAgainst,keyPassesAgainst,longBallsSuccessfulAgainst,longBallsTotalAgainst,offsidesAgainst,redCardsAgainst,shotsAgainst,shotsBlockedAgainst,shotsFromInsideTheBoxAgainst,shotsFromOutsideTheBoxAgainst,shotsOffTargetAgainst,shotsOnTargetAgainst,blockedScoringAttemptAgainst,tacklesAgainst,totalFinalThirdPassesAgainst,oppositionHalfPassesTotalAgainst,ownHalfPassesTotalAgainst,totalPassesAgainst,yellowCardsAgainst,id,matches
Milan,69,31,2,41,600,5,8,4,23,55,11,362,238,5,31,30,82,56,46,196,238,166,456,779,195,12,35,9,28,54.184210526316,17737,14779,83.322997124655,8451,7701,91.125310614129,9958,7257,72.876079534043,1457,820,56.280027453672,672,179,26.636904761905,18,697,355,97,5,7,5,4,447,3,4,4080,2186,53.578431372549,3031,1664,54.899373144177,1049,522,49.76167778837,4930,80,465,74,1,3,6.9738382099828,2639,5780,6390,12035,43,31,23,709,159,135,533,584,302,10,6,5,356,305,1049,1970,63,7,401,116,244,157,157,128,116,635,3816,8208,7319,14994,90,6365,38
Inter,84,32,1,59,678,7,11,1,13,76,7,485,193,19,18,46,127,90,76,254,249,175,255,471,253,17,33,8,26,56.552631578947,20158,17399,86.313126302213,10151,9386,92.463796670279,10816,8276,76.516272189349,1599,1063,66.479049405879,809,263,32.509270704574,15,588,332,97,3,8,4,4,453,2,2,3478,1804,51.868890166763,2445,1250,51.124744376278,1033,554,53.630203291384,4502,57,466,71,0,1,7.0373737373737,2406,5685,7092,12643,53,38,32,781,131,134,516,545,298,1,7,9,395,299,964,1930,34,5,402,112,250,152,161,129,112,461,3468,7903,7976,15363,78,6330,38
Napoli,74,31,1,53,579,10,14,0,25,61,13,351,228,12,20,42,74,51,34,201,218,160,357,595,197,21,24,3,22,58.447368421053,21438,18631,86.906427838418,10208,9329,91.389106583072,11783,9429,80.022065687855,1455,879,60.412371134021,553,127,22.965641952984,16,550,296,107,3,5,1,1,473,1,1,3478,1779,51.150086256469,2665,1374,51.55722326454,813,405,49.815498154982,4451,67,460,63,0,2,6.9876090750436,2599,5573,6725,12168,48,36,35,584,145,130,552,617,349,5,14,7,397,311,883,1824,60,9,419,114,251,168,168,137,114,532,3719,7835,7544,14827,96,6358,38
Juventus,57,37,1,41,523,5,6,0,18,50,6,331,192,14,17,25,79,57,46,172,226,125,367,637,170,14,20,2,18,51.605263157895,18372,15554,84.661441323754,9314,8358,89.735881468757,9609,7357,76.563638255802,1774,1085,61.161217587373,551,161,29.219600725953,13,555,332,89,3,6,7,4,634,2,1,3761,1975,52.512629619782,2758,1418,51.414068165337,1003,557,55.533399800598,4621,74,508,76,1,2,6.9306194690266,3673,7781,6563,14185,47,30,26,559,197,159,730,529,293,5,7,4,364,337,906,1818,35,4,445,137,247,198,183,125,137,582,4869,10345,7414,17029,93,6347,38
Lazio,77,58,1,53,454,7,9,0,14,68,6,287,167,14,18,41,87,60,40,195,166,93,334,610,176,15,20,4,17,55.473684210526,21595,18784,86.983097939338,11079,10154,91.65087101724,11090,8746,78.863841298467,1367,862,63.057790782736,574,116,20.209059233449,9,578,315,89,3,7,6,5,540,3,1,3550,1773,49.943661971831,2701,1356,50.20362828582,849,417,49.116607773852,4575,44,441,85,3,5,6.8927433628319,2580,5674,8823,14327,65,50,32,597,146,170,602,621,383,8,6,15,399,347,1103,2092,73,7,471,143,298,173,179,149,143,547,3759,8039,9723,17160,97,6337,38
Roma,59,43,2,35,601,7,9,3,21,52,6,384,217,6,9,43,90,68,57,198,225,178,331,631,238,19,33,5,28,51.368421052632,17144,14209,82.880307979468,8607,7757,90.124317416057,9272,6654,71.764452113891,1680,948,56.428571428571,735,202,27.482993197279,15,613,385,106,4,5,6,5,507,2,0,3786,1942,51.294241944004,2809,1414,50.338198647205,977,528,54.042988741044,4864,60,500,105,6,8,6.9283636363636,2703,6264,7443,13590,62,42,38,686,134,117,504,622,339,2,3,12,383,284,932,1932,81,8,375,84,226,149,143,148,84,586,3962,8748,8252,16496,101,6360,38
Fiorentina,59,51,2,34,513,9,12,4,25,51,8,350,163,5,35,18,81,50,45,186,205,122,301,542,195,7,17,3,14,58.078947368421,19220,16408,85.369406867846,10087,9234,91.543570932884,9909,7388,74.55848218791,1677,1091,65.056648777579,776,214,27.577319587629,11,508,244,77,7,8,5,3,397,1,0,3526,1843,52.268859897901,2592,1369,52.816358024691,934,474,50.749464668094,4673,57,464,83,5,8,6.856724137931,1860,4234,7044,11153,78,58,43,628,127,125,437,541,272,3,1,11,351,261,862,1899,119,4,356,91,252,104,138,127,91,515,3033,6521,7945,14029,100,6361,38
Atalanta,65,48,3,49,604,5,6,0,16,54,8,412,192,8,27,27,90,72,51,177,237,190,372,679,229,18,17,3,14,55.052631578947,19548,16018,81.941886638019,8181,7249,88.607749663855,12028,8959,74.484536082474,1534,756,49.282920469361,661,190,28.74432677761,10,630,441,95,4,2,6,5,458,4,2,4166,2141,51.392222755641,2953,1451,49.136471385032,1213,690,56.883759274526,5587,68,513,86,1,2,6.9167808219178,2438,5496,7141,12529,71,54,39,674,134,108,468,635,336,3,5,18,429,288,1084,2348,69,1,391,95,235,156,153,143,95,683,3846,8259,8317,16108,93,6339,38
Hellas Verona,65,59,2,47,463,7,8,0,15,53,10,311,152,11,20,32,73,50,37,160,184,119,313,590,166,13,16,3,14,50.631578947368,15798,12118,76.705912140777,6750,5669,83.985185185185,9641,6596,68.416139404626,1517,723,47.659854976928,593,147,24.789207419899,4,534,392,104,3,6,4,3,733,1,0,4209,1964,46.661914944167,2778,1274,45.860331173506,1431,690,48.218029350105,5755,97,560,95,5,7,6.793031358885,2614,5853,5854,11539,73,52,40,533,187,168,682,557,319,5,11,18,425,352,1028,2430,32,3,474,111,287,187,203,160,111,659,4173,9070,6965,15353,74,6332,38
Torino,46,41,0,32,476,6,6,0,16,41,2,307,169,9,11,23,73,57,43,154,198,124,295,512,168,18,15,1,14,53.526315789474,16501,13030,78.964911217502,6834,5954,87.123207491952,10330,7267,70.348499515973,1344,667,49.627976190476,663,191,28.808446455505,9,531,423,84,2,2,11,9,626,1,1,4281,2066,48.2597523943,2598,1283,49.384141647421,1683,783,46.524064171123,5342,84,636,87,2,3,6.8621291448517,2257,4902,5803,10577,52,35,26,574,180,128,558,440,212,3,6,8,300,281,1089,2370,60,7,395,112,235,160,158,125,112,502,3727,7837,6931,14210,93,6338,38
